Town,Super,Diesel,Kerosene
Bomet,151.64,132.82,120.78
Muhoroni,150.77,131.93,119.9
Mbita,151.34,132.5,120.47
Mbale,150.53,131.7,119.66
Etago,151.99,133.15,121.12
Magenche,152.08,133.26,121.22
Kilgoris,151.92,133.09,121.06
Malava,150.9,132.06,120.03
Lugari,151.29,132.45,120.42
Rodi Kopany,151.41,132.58,120.55
Ndhiwa,151.68,132.86,120.82
Rangwe,151.4,132.57,120.54
Sindo,151.41,132.58,120.55
Awasi,150.5,131.66,119.63
Ahero,150.53,131.7,119.66
Ugunja,150.96,132.13,120.1
Asembo,150.62,131.78,119.75
Usenge,151.09,132.26,120.22
Harambee,150.57,131.75,119.71
Muhuru Bay,152.34,133.52,121.48
Kehancha,152.58,133.75,121.71
Ntimaru,152.88,134.06,122.02
Rongo,151.66,132.83,120.8
Kaspokwony,151.62,132.8,120.75
Chwele,151.57,132.74,120.7
Kimilili,151.49,132.67,120.62
Nambale,151.4,132.57,120.54
SioPort,151.39,132.56,120.53
Port Bunyala,151.44,132.61,120.57
Funyula,151.26,132.43,120.4
Ogembo,151.57,132.74,120.7
Nyangusu,151.83,133,120.96
Sengera,151.75,132.92,120.88
Keumbu,151.48,132.64,120.61
Marani,151.18,132.35,120.31
Kerina,151.54,132.71,120.68
Ikonge,150.9,132.07,120.03
Nyansiongo,151.3,132.47,120.43
