Town,Super,Diesel,Kerosene
Kimilili,179.46,164.67,148.62
Nambale,179.36,164.57,148.54
SioPort,179.35,164.56,148.53
Port Bunyala,179.4,164.61,148.57
Funyula,179.22,164.43,148.4
Ogembo,179.53,164.74,148.7
Nyangusu,179.79,165,148.96
Sengera,179.72,164.92,148.88
Keumbu,179.44,164.64,148.61
Marani,179.14,164.35,148.31
Kerina,179.5,164.71,148.68
Ikonge,178.86,164.07,148.03
Nyansiongo,179.26,164.47,148.43
