Town,Super,Diesel,Kerosene
Mbale,169.47,172.42,169.63
Etago,170.92,173.88,171.08
Magenche,171.03,173.98,171.18
Kilgoris,170.86,173.81,171.02
Malava,168.83,172.79,169.99
Lugari,170.22,173.18,170.38
Rodi Kopany,170.35,173.31,170.51
Ndhiwa,170.62,173.58,170.78
Rangwe,170.34,173.3,170.5
Sindo,170.35,173.31,170.51
Awasi,169.43,172.39,169.59
Ahero,169.47,172.42,169.63
Ugunja,169.9,172.85,170.06
Asembo,169.55,172.51,169.71
Usenge,170.02,172.98,170.19
Harambee,169.51,172.47,169.67
Muhuru Bay,171.29,174.24,171.44
Kehancha,171.51,174.47,171.68
Ntimaru,171.83,174.78,171.98
Rongo,170.6,173.56,170.76
Kaspokwony,170.55,173.51,170.72
Chwele,170.51,173.46,170.66
Kimilili,170.42,173.38,170.59
Nambale,170.34,173.3,170.5
SioPort,170.33,173.28,170.49
Port Bunyala,170.38,173.33,170.53
Funyala,170.2,173.15,170.36
Ogembo,170.51,173.46,170.66
Nyagusu,170.77,173.72,170.92
Sengera,170.68,173.64,170.85
Keumbu,170.41,173.37,170.58
Marani,170.12,173.07,170.27
Kerina,170.48,173.44,170.64
Ikonge,169.83,172.79,169.99
Nyansiongo,170.24,173.19,170.39
