Town,Super,Diesel,Kerosene
Naiberi,179.5,162.72,146.67
Kesses,179.5,162.72,146.67
Kapsabet,179.52,162.74,146.68
Webuye,179.93,163.15,147.1
Kitale,179.86,163.08,147.03
Kapenguria,180.5,163.72,147.67
Bungoma,180.26,163.48,147.44
Moiben,179.52,162.74,146.68
Matunda,179.49,162.7,146.66
Burnt Forest,179.45,162.67,146.62
Tambach,179.54,162.76,146.71
Kapsowar,180,163.22,147.18
Chebara,179.89,163.1,147.06
Kimwarer,179.81,163.03,146.99
,,,
Timboroa,179.73,162.95,146.9
,,,
Nandi Hills,179.69,162.91,146.87
,,,
Kaiboi,179.55,162.77,146.73
,,,
Kiminini,180.05,163.27,147.21
,,,
Endebes,180.39,163.61,147.57
,,,
Saboti,180.07,163.29,147.25
,,,
Chepareria,180.71,163.93,147.87
,,,
Lomut,182.33,165.53,149.49
,,,
Burgich,181.12,164.34,148.29
,,,
Sigor,181.25,164.47,148.42
,,,
Lodwar,183.68,166.9,150.85
,,,
Kakuma,185.27,168.49,152.44
,,,
Lokichar,182.68,165.9,149.85
,,,
Kalokol,184.44,167.66,151.61
,,,
Lokori,183.05,166.27,150.22
,,,
Lokitaung,187.33,170.55,154.49
,,,
Kapedo,182.33,165.53,149.49
,,,
Malaba,180.66,163.88,147.84
,,,
Lokichogio,186.46,169.68,153.63
,,,
Ziwa,179.69,162.91,146.87
,,,
Soy,179.51,162.72,146.67
,,,
Moi?s Bridge,179.57,162.78,146.74
,,,
Turbo,179.45,162.67,146.62
,,,
Kibish,187.56,170.77,154.73
,,,
Nakalale,186.39,169.6,153.55
,,,
Loima,182.8,166.02,149.97
,,,
Lokiriama,184.37,167.59,151.53
Kainuk,181.57,164.79,148.74
Kacheliba,180.9,164.12,148.07
Kiwawa,181.5,164.72,148.68
Ortum,181.09,164.31,148.26
Kachibora,179.89,163.1,147.06
Kwanza,180.6,163.82,147.78
Kaplamai,179.92,163.14,147.08
Eldama Ravine,180.33,163.55,147.51
Tenges,180.47,163.69,147.65
Barwessa,180.59,163.81,147.75
Kipsaraman,181.49,164.71,148.66
Loruk,181.36,164.58,148.53
Kabartonjo,180.33,163.55,147.51
Tindiret,180.39,163.61,147.57
O?lessos,179.57,162.78,146.74
Kobujoi,179.97,163.19,147.14
Serem,180.05,163.27,147.21
Kabiyet,179.51,162.72,146.67
Cheptulu,179.93,163.15,147.1
Songor,180.47,163.69,147.65
Kapcherop,180.11,163.33,147.28
Sambalat,180.79,164.01,147.97
Arror,180.45,163.67,147.61
Tot,180.65,163.87,147.82
Kaptarakwa,179.69,162.91,146.87
Kapese,182.65,165.86,149.82
Kalemngorok,182.03,165.25,149.21
Marich,181.02,164.24,148.19
Alale,181.5,164.72,148.68
Kunyao,181.17,164.39,148.34
Asilong,180.76,163.98,147.93
Orolwo,180.79,164.01,147.97
Sebit,180.74,163.96,147.92
Morpus,180.65,163.87,147.82
Chepkorniswo,180.53,163.75,147.71
Kaibichbich,180.49,163.7,147.66
Keringet,180.21,163.43,147.39
Kisumu,179.5,162.7,146.66
Sondu,179.59,162.8,146.77
Oyugis,180.08,163.29,147.25
Kakamega,179.54,162.75,146.72
Mumias,179.82,163.03,146.99
Bondo,179.7,162.91,146.88
Siaya,179.83,163.04,147
Kericho,180,163.21,147.17
Nyamira,180.07,163.28,147.24
Kisii,180.37,163.58,147.55
,,,
Sotik,180.21,163.42,147.38
,,,
Keroka,180.39,163.6,147.56
,,,
Busia,180.36,163.57,147.54
,,,
Homabay,180.31,163.52,147.48
,,,
Migori,181.17,164.37,148.34
,,,
Isebania,181.45,164.66,148.62
,,,
Bomet,180.61,163.82,147.78
,,,
Muhoroni,179.72,162.93,146.9
,,,
Mbita,180.3,163.5,147.47
,,,
Mbale,179.5,162.7,146.66
,,,
Etago,180.94,164.15,148.12
,,,
Magenche,181.05,164.26,148.22
,,,
Kilgoris,180.88,164.09,148.06
,,,
Malava,179.86,163.06,147.03
,,,
Lugari,180.25,163.45,147.42
,,,
Rodi Kopany,180.37,163.58,147.55
,,,
Ndhiwa,180.65,163.86,147.82
,,,
Rangwe,180.36,163.57,147.54
,,,
Sindo,180.37,163.58,147.55
,,,
Awasi,179.45,162.66,146.63
,,,
Ahero,179.5,162.7,146.66
,,,
Ugunja,179.93,163.13,147.1
,,,
Asembo,179.57,162.78,146.75
,,,
Usenge,180.06,163.26,147.22
,,,
Harambee,179.54,162.75,146.71
,,,
Muhuru Bay,181.31,164.52,148.48
,,,
Kehancha,181.54,164.75,148.71
,,,
Ntimaru,181.85,165.06,149.02
Rongo,180.62,163.83,147.8
Kaspokwony,180.59,163.8,147.75
Chwele,180.53,163.74,147.7
Kimilili,180.46,163.67,147.62
Nambale,180.36,163.57,147.54
SioPort,180.35,163.56,147.53
Port Bunyala,180.4,163.61,147.57
Funyula,180.22,163.43,147.4
Ogembo,180.53,163.74,147.7
Nyangusu,180.79,164,147.96
Sengera,180.72,163.92,147.88
Keumbu,180.44,163.64,147.61
Marani,180.14,163.35,147.31
Kerina,180.5,163.71,147.68
Ikonge,179.86,163.07,147.03
Nyansiongo,180.26,163.47,147.43
