Town,Super,Diesel,Kerosene
Mombasa,176.98,159.76,143.69
Kilifi,177.69,160.47,144.41
Likoni Mainland,177.34,160.11,144.05
Kwale,177.34,160.11,144.05
Malindi,177.9,160.67,144.61
Lungalunga,178.05,160.83,144.76
Voi,178.46,161.24,145.17
Taveta,179.86,162.64,146.58
Lamu,180.27,163.06,147
Hola,180.57,163.34,147.28
Mpeketoni,180.27,163.06,147
Minjila,179.25,162.02,145.96
Garsen,179.33,162.11,146.05
Samburu,177.28,160.06,144
Taru,177.46,160.24,144.18
Mwatate,178.79,161.57,145.51
Wundanyi,178.96,161.74,145.68
Kaloleni,177.13,159.92,143.85
Marereni,178.56,161.34,145.27
Nairobi,179.3,162,145.94
Thika,179.31,162.01,145.94
Machakos,179.54,162.24,146.18
Kajiado,179.72,162.42,146.36
Makuyu,179.59,162.29,146.23
Muranga,179.82,162.52,146.46
Sagana,180.05,162.75,146.68
Embu,180.4,163.1,147.04
Kerugoya,180.33,163.03,146.97
Narok,180.69,163.4,147.33
Nyeri,180.67,163.37,147.31
,,,
Namanga,180.85,163.55,147.48
,,,
Kiganjo,180.64,163.34,147.28
,,,
Chuka,180.93,163.63,147.57
,,,
Kitui,180.84,163.54,147.47
,,,
Mwingi,181.22,163.93,147.86
,,,
Nanyuki,181.23,163.94,147.87
,,,
Nkubu,182.21,164.91,148.84
,,,
Mtito Andei,181.74,164.44,148.38
,,,
Meru,182.4,165.1,149.04
,,,
Isiolo,182.26,164.96,148.89
,,,
Maua,182.85,165.56,149.49
,,,
Garissa,183.47,166.17,150.11
,,,
Marsabit,187.15,169.85,153.79
,,,
Liboi,186.24,168.94,152.87
,,,
Moyale,188.74,171.44,155.37
,,,
Sololo,187.79,170.49,154.43
,,,
Habaswein,186.16,168.86,152.8
,,,
Dadaab,184.85,167.55,151.49
,,,
Tarbaj,188.42,171.12,155.04
,,,
Elwak,190.02,172.72,156.65
,,,
Wajir,188.57,171.27,155.21
,,,
Modogashe,186.3,169,152.94
,,,
Mandera,192.35,175.05,158.98
,,,
Matuu,180.2,162.9,146.84
,,,
Merti,184.65,167.35,151.29
,,,
Oldonyiro,181.67,164.36,148.29
,,,
Eldas,190.34,173.04,156.98
Bute,187.38,170.08,154.02
Hadado,185.97,168.67,152.6
Mai Mahiu,179.42,162.12,146.06
Doldo,182,164.7,148.63
Lamuria,181.12,163.82,147.75
Sipili,181.98,164.68,148.62
Marimanti,181.61,164.31,148.25
Mutuobare,180.95,163.65,147.58
North Horr,188.11,170.82,154.75
Maikona,186.73,169.43,153.37
Kalacha,187.27,169.97,153.91
Loyangalani,187.34,170.04,153.97
Turbi,187.14,169.84,153.78
Laisamis,184.36,167.06,150.98
Merille,184.05,166.75,150.69
Korr,185.3,168,151.93
Nakuru,178.62,161.83,145.79
Gilgil,178.58,161.79,145.76
Mogotio,178.57,161.78,145.74
Molo,178.65,161.86,145.83
Olenguruone,179.36,162.56,146.53
Londiani,178.88,162.09,146.05
Nyahururu,178.87,162.08,146.04
Archers Post,181.85,165.06,149.03
Lodosoit,182.95,166.16,150.13
Naivasha,178.95,162.15,146.11
Marigat,179.34,162.55,146.51
Kabarnet,179.83,163.04,147.01
Maralal,180.92,164.13,148.1
Wamba,181.76,164.97,148.93
Rumuruti,179.41,162.62,146.58
Eldoret,179.5,162.72,146.67
Kiplombe,179.5,162.72,146.67
Iten,179.5,162.72,146.67
