Town,Super,Diesel,Kerosene
Turbo,135.08,116.27,104.22
Kibish,143.19,124.37,112.33
Nakalale,142.01,123.2,111.15
Loima,138.42,119.62,107.57
Lokiriama,139.99,121.19,109.13
Kainuk,137.2,118.39,106.34
Kacheliba,136.52,117.72,105.67
Kiwawa,137.14,118.32,106.28
Ortum,136.72,117.91,105.86
Kachibora,135.52,116.7,104.66
Kwanza,136.23,117.42,105.38
Kaplamai,135.54,116.74,104.68
Eldama Ravine,135.96,117.15,105.11
Tenges,136.1,117.29,105.25
Barwessa,136.22,117.41,105.35
Kipsaraman,137.12,118.31,106.26
Loruk,136.99,118.18,106.13
Kabartonjo,135.96,117.15,105.11
Tindiret,136.03,117.21,105.17
O'lessos,135.19,116.38,104.34
Kobujoi,135.59,116.79,104.74
Serem,135.67,116.87,104.81
Kabiyet,135.13,116.32,104.27
Cheptulu,135.55,116.75,104.7
Songor,136.1,117.29,105.25
Kapcherop,135.73,116.93,104.88
Sambalat,136.42,117.61,105.57
Arror,136.07,117.27,105.21
Tot,136.28,117.47,105.42
Kaptarakwa,135.32,116.51,104.47
Kapese,138.27,119.46,107.42
Kalemngorok,137.67,118.85,106.81
Marich,136.64,117.84,105.79
Alale,137.14,118.32,106.28
Kunyao,136.79,117.99,105.94
Asilong,136.38,117.58,105.53
Orolwo,136.42,117.61,105.57
Sebit,136.37,117.56,105.52
Morpus,136.28,117.47,105.42
Chepkorniswo,136.17,117.35,105.31
Kaibichbich,136.11,117.3,105.26
Keringet,135.84,117.03,104.99
Kisumu,135.13,116.3,104.26
Sondu,135.24,116.4,104.37
Oyugis,135.71,116.89,104.85
Kakamega,135.18,116.35,104.32
Mumias,135.46,116.63,104.59
Bondo,135.35,116.51,104.48
Siaya,135.46,116.64,104.6
Kericho,135.65,116.81,104.77
Nyamira,135.7,116.88,104.84
Kisii,136.01,117.18,105.15
Sotik,135.84,117.02,104.98
Keroka,136.03,117.2,105.16
Busia,136,117.17,105.14
Homabay,135.95,117.12,105.08
Migori,136.8,117.97,105.94
