Town,Super,Diesel,Kerosene
Mbale,179.5,165.7,148.66
Etago,180.94,167.15,150.12
Magenche,181.05,167.26,150.22
Kilgoris,180.88,167.09,150.06
Malava,179.86,166.06,149.03
Lugari,180.25,166.45,149.42
Rodi Kopany,180.37,166.58,149.55
Ndhiwa,180.65,166.86,149.82
Rangwe,180.36,166.57,149.54
Sindo,180.37,166.58,149.55
Awasi,179.45,165.66,148.63
Ahero,179.5,165.7,148.66
Ugunja,179.93,166.13,149.1
Asembo,179.57,165.78,148.75
Usenge,180.06,166.26,149.22
Harambee,179.54,165.75,148.71
Muhuru Bay,181.31,167.52,150.48
Kehancha,181.54,167.75,150.71
Ntimaru,181.85,168.06,151.02
Rongo,180.62,166.83,149.8
Kaspokwony,180.59,166.8,149.75
Chwele,180.53,166.74,149.7
Kimilili,180.46,166.67,149.62
Nambale,180.36,166.57,149.54
SioPort,180.35,166.56,149.53
Port Bunyala,180.4,166.61,149.57
Funyula,180.22,166.43,149.4
Ogembo,180.53,166.74,149.7
Nyangusu,180.79,167,149.96
Sengera,180.72,166.92,149.88
Keumbu,180.44,166.64,149.61
Marani,180.14,166.35,149.31
Kerina,180.5,166.71,149.68
Ikonge,179.86,166.07,149.03
Nyansiongo,180.26,166.47,149.43
