Town,Super,Diesel,Kerosene
Archers Post,181.85,165.06,149.03
Barwessa,180.59,163.81,147.75
Bungoma,180.26,163.48,147.44
Burgich,181.12,164.34,148.29
Burnt Forest,179.45,162.67,146.62
Bute,187.38,170.08,154.02
Chebara,179.89,163.1,147.06
Chepareria,180.71,163.93,147.87
Chuka,180.93,163.63,147.57
Dadaab,184.85,167.55,151.49
Doldo,182,164.7,148.63
Eldama Ravine,180.33,163.55,147.51
Eldas,190.34,173.04,156.98
Eldoret,179.5,162.72,146.67
Elwak,190.02,172.72,156.65
Embu,180.4,163.1,147.04
Endebes,180.39,163.61,147.57
Garissa,183.47,166.17,150.11
Garsen,179.33,162.11,146.05
Gilgil,178.58,161.79,145.76
Habaswein,186.16,168.86,152.8
Hadado,185.97,168.67,152.6
Hola,180.57,163.34,147.28
Isiolo,182.26,164.96,148.89
Iten,179.5,162.72,146.67
Kabarnet,179.83,163.04,147.01
Kabartonjo,180.33,163.55,147.51
Kacheliba,180.9,164.12,148.07
Kachibora,179.89,163.1,147.06
Kaiboi,179.55,162.77,146.73
Kainuk,181.57,164.79,148.74
Kajiado,179.72,162.42,146.36
Kakuma,185.27,168.49,152.44
Kalacha,187.27,169.97,153.91
Kalokol,184.44,167.66,151.61
Kaloleni,177.13,159.92,143.85
Kapedo,182.33,165.53,149.49
Kapenguria,180.5,163.72,147.67
Kaplamai,179.92,163.14,147.08
Kapsabet,179.52,162.74,146.68
Kapsowar,180,163.22,147.18
Kerugoya,180.33,163.03,146.97
Kesses,179.5,162.72,146.67
Kibish,187.56,170.77,154.73
Kiganjo,180.64,163.34,147.28
Kilifi,177.69,160.47,144.41
Kiminini,180.05,163.27,147.21
Kimwarer,179.81,163.03,146.99
Kiplombe,179.5,162.72,146.67
Kipsaraman,181.49,164.71,148.66
Kitale,179.86,163.08,147.03
Kitui,180.84,163.54,147.47
Kiwawa,181.5,164.72,148.68
Kobujoi,179.97,163.19,147.14
Korr,185.3,168,151.93
Kwale,177.34,160.11,144.05
Kwanza,180.6,163.82,147.78
Laisamis,184.36,167.06,150.98
Lamu,180.27,163.06,147
Lamuria,181.12,163.82,147.75
Liboi,186.24,168.94,152.87
Likoni Mainland,177.34,160.11,144.05
Lodosoit,182.95,166.16,150.13
Lodwar,183.68,166.9,150.85
Loima,182.8,166.02,149.97
Lokichar,182.68,165.9,149.85
Lokichogio,186.46,169.68,153.63
Lokiriama,184.37,167.59,151.53
Lokitaung,187.33,170.55,154.49
Lokori,183.05,166.27,150.22
Lomut,182.33,165.53,149.49
Londiani,178.88,162.09,146.05
Loruk,181.36,164.58,148.53
Loyangalani,187.34,170.04,153.97
Lungalunga,178.05,160.83,144.76
Machakos,179.54,162.24,146.18
Mai Mahiu,179.42,162.12,146.06
Maikona,186.73,169.43,153.37
Makuyu,179.59,162.29,146.23
Malaba,180.66,163.88,147.84
Malindi,177.9,160.67,144.61
Mandera,192.35,175.05,158.98
Maralal,180.92,164.13,148.1
Marereni,178.56,161.34,145.27
Marigat,179.34,162.55,146.51
Marimanti,181.61,164.31,148.25
Marsabit,187.15,169.85,153.79
Matunda,179.49,162.7,146.66
Matuu,180.2,162.9,146.84
Maua,182.85,165.56,149.49
Merille,184.05,166.75,150.69
Merti,184.65,167.35,151.29
Meru,182.4,165.1,149.04
Minjila,179.25,162.02,145.96
Modogashe,186.3,169,152.94
Mogotio,178.57,161.78,145.74
Moi?s Bridge,179.57,162.78,146.74
Moiben,179.52,162.74,146.68
Molo,178.65,161.86,145.83
Mombasa,176.98,159.76,143.69
Moyale,188.74,171.44,155.37
Mpeketoni,180.27,163.06,147
Mtito Andei,181.74,164.44,148.38
Muranga,179.82,162.52,146.46
Mutuobare,180.95,163.65,147.58
Mwatate,178.79,161.57,145.51
Mwingi,181.22,163.93,147.86
Naiberi,179.5,162.72,146.67
Nairobi,179.3,162,145.94
Naivasha,178.95,162.15,146.11
Nakalale,186.39,169.6,153.55
Nakuru,178.62,161.83,145.79
Namanga,180.85,163.55,147.48
Nandi Hills,179.69,162.91,146.87
Nanyuki,181.23,163.94,147.87
Narok,180.69,163.4,147.33
Nkubu,182.21,164.91,148.84
North Horr,188.11,170.82,154.75
Nyahururu,178.87,162.08,146.04
Nyeri,180.67,163.37,147.31
O?lessos,179.57,162.78,146.74
Oldonyiro,181.67,164.36,148.29
Olenguruone,179.36,162.56,146.53
Ortum,181.09,164.31,148.26
Rumuruti,179.41,162.62,146.58
Saboti,180.07,163.29,147.25
Sagana,180.05,162.75,146.68
Samburu,177.28,160.06,144
Serem,180.05,163.27,147.21
Sigor,181.25,164.47,148.42
Sipili,181.98,164.68,148.62
Sololo,187.79,170.49,154.43
Soy,179.51,162.72,146.67
Tambach,179.54,162.76,146.71
Tarbaj,188.42,171.12,155.04
Taru,177.46,160.24,144.18
Taveta,179.86,162.64,146.58
Tenges,180.47,163.69,147.65
Thika,179.31,162.01,145.94
Timboroa,179.73,162.95,146.9
Tindiret,180.39,163.61,147.57
Turbi,187.14,169.84,153.78
Turbo,179.45,162.67,146.62
Voi,178.46,161.24,145.17
Wajir,188.57,171.27,155.21
Wamba,181.76,164.97,148.93
Webuye,179.93,163.15,147.1
Wundanyi,178.96,161.74,145.68
Ziwa,179.69,162.91,146.87
