town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Gilgil,119.76,129.66,135.16,144.16,140.15,140.15,165.15,163.15,162.15,162.15,162.15,162.15,164.13,,179.49,,167.11,112.94,114.13
Meru,115.75,125.65,131.15,140.15,140.55,140.55,165.55,163.55,162.55,162.55,162.55,162.55,,,179.92,171.98,167.51,113.07,112.94
Matunda,116.15,126.05,131.55,140.55,141.04,141.04,166.04,164.04,163.04,163.04,163.04,163.04,162.55,,180.45,172.45,168.0,,113.07
Kabiyet,116.64,126.54,132.04,141.04,142.13,142.13,167.13,165.13,164.13,164.13,164.13,164.13,,,181.61,174.03,169.08,117.09,
Kesses,117.73,127.63,133.13,142.13,,,,,,,,,169.85,,,,,114.5,117.09
Voi,,,,,,,,,,,,,162.7,,,,,116.26,114.5
Kwanza,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,,,179.89,172.43,167.49,114.87,116.26
Maua,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,165.56,,179.89,172.43,167.49,119.15,114.87
Narok,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,,,179.89,172.43,167.49,114.13,119.15
Lamu,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,,,179.89,172.43,167.49,112.48,114.13
Nanyuki,116.32,126.22,131.72,140.72,140.72,140.72,165.72,163.72,162.72,162.72,162.72,162.72,165.1,,179.89,172.43,167.49,118.28,112.48
Garissa,116.34,126.24,131.74,140.74,140.74,140.74,165.74,163.74,162.74,162.74,162.74,162.74,,,179.91,172.44,167.5,111.51,118.28
Modogashe,116.75,126.65,132.15,141.15,141.15,141.15,166.15,164.15,163.15,163.15,163.15,163.15,169.0,,180.36,172.79,167.92,111.32,111.51
Serem,116.68,126.58,132.08,141.08,141.08,141.08,166.08,164.08,163.08,163.08,163.08,163.08,161.78,,180.29,,167.85,111.38,111.32
Isebania,117.32,127.22,132.72,141.72,141.72,141.72,166.72,164.72,163.72,163.72,163.72,163.72,,,180.96,173.19,168.48,111.27,111.38
Hola,117.08,126.98,132.48,141.48,141.48,141.48,166.48,164.48,163.48,163.48,163.48,163.48,162.74,,180.72,172.44,168.25,119.37,111.27
Kiplombe,116.34,126.24,131.74,140.74,140.74,140.74,165.74,163.74,162.74,162.74,162.74,162.74,161.86,,179.91,172.42,167.5,118.2,119.37
Moiben,116.3,126.2,131.7,140.7,140.7,140.7,165.7,163.7,162.7,162.7,162.7,162.7,159.76,,179.88,172.38,167.48,114.62,118.2
Kerugoya,116.27,126.17,131.67,140.67,140.67,140.67,165.67,163.67,162.67,162.67,162.67,162.67,171.44,161.83,179.84,172.47,167.43,116.19,114.62
Kibish,116.36,126.26,131.76,140.76,140.76,140.76,165.76,163.76,162.76,162.76,162.76,162.76,,161.79,179.94,172.93,167.53,113.39,116.19
Kimwarer,116.82,126.72,132.22,141.22,141.22,141.22,166.22,164.22,163.22,163.22,163.22,163.22,164.44,161.78,180.44,172.82,167.99,112.72,113.39
Bondo,116.7,126.6,132.1,141.1,141.1,141.1,166.1,164.1,163.1,163.1,163.1,163.1,162.52,161.86,180.31,172.74,167.88,113.32,112.72
Tambach,116.63,126.53,132.03,141.03,141.03,141.03,166.03,164.03,163.03,163.03,163.03,163.03,,162.56,180.23,172.66,167.8,112.91,113.32
Maralal,116.55,126.45,131.95,140.95,140.95,140.95,165.95,163.95,162.95,162.95,162.95,162.95,,162.09,180.15,172.63,167.72,111.7,112.91
Kiwawa,116.51,126.41,131.91,140.91,140.91,140.91,165.91,163.91,162.91,162.91,162.91,162.91,163.93,162.08,180.1,172.49,167.68,112.42,111.7
Siaya,116.37,126.27,131.77,140.77,140.77,140.77,165.77,163.77,162.77,162.77,162.77,162.77,162.72,165.06,179.95,172.97,167.54,111.74,112.42
Mogotio,116.87,126.77,132.27,141.27,141.27,141.27,166.27,164.27,163.27,163.27,163.27,163.27,162.0,166.16,180.48,173.32,168.04,112.15,111.74
Isiolo,117.21,127.11,132.61,141.61,141.61,141.61,166.61,164.61,163.61,163.61,163.61,163.61,162.15,162.15,180.86,172.99,168.38,112.29,112.15
