town,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,may23,apr23,jul23,mar23,jun23,jan22,feb22
Burgich,107.45,117.35,122.85,131.85,131.85,131.85,151.85,150.85,149.85,149.85,149.85,149.85,,146.67,173.17,174.57,164.88,104.81,104.74
Kachibora,109.21,119.11,124.61,133.61,133.61,133.61,153.61,152.61,151.61,151.61,151.61,151.61,146.04,146.67,175.06,173.18,166.64,104.27,104.81
Sondu,107.82,117.72,123.22,132.22,132.22,132.22,152.22,151.22,150.22,150.22,150.22,150.22,147.31,146.67,173.56,177.46,165.25,104.7,104.27
Webuye,112.09,121.99,127.49,136.49,136.49,136.49,156.49,155.49,154.49,154.49,154.49,154.49,,146.68,178.15,172.45,169.53,105.25,104.7
Kiminini,107.09,116.99,122.49,131.49,131.49,131.49,151.49,150.49,149.49,149.49,149.49,149.49,,147.1,172.78,170.06,164.53,104.88,105.25
Kajiado,105.44,115.34,120.84,129.84,129.84,129.84,149.84,148.84,147.84,147.84,147.84,147.84,146.53,147.03,171.00,170.8,162.87,105.57,104.88
Lungalunga,111.23,121.13,126.63,135.63,135.63,135.63,155.63,154.63,153.63,153.63,153.63,153.63,148.26,,177.22,176.59,168.66,105.21,105.57
Kiganjo,104.47,114.37,119.87,128.87,128.87,128.87,148.87,147.87,146.87,146.87,146.87,146.87,,147.44,169.96,169.83,161.9,105.42,105.21
Kabarnet ,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,147.25,146.68,169.75,169.64,161.71,104.47,105.42
Loruk,104.34,114.24,119.74,128.74,128.74,128.74,148.74,147.74,146.74,146.74,146.74,146.74,146.68,146.66,169.82,,161.77,104.26,104.47
Sololo,104.22,114.12,119.62,128.62,128.62,128.62,148.62,147.62,146.62,146.62,146.62,146.62,,146.62,169.70,169.58,161.65,104.37,104.26
Elwak,112.33,122.23,127.73,136.73,136.73,136.73,156.73,155.73,154.73,154.73,154.73,154.73,147.21,146.71,178.41,177.69,169.77,104.85,104.37
Makuyu,111.15,121.05,126.55,135.55,135.55,135.55,155.55,154.55,153.55,153.55,153.55,153.55,148.42,147.18,177.14,176.52,168.59,104.32,104.85
Kacheliba,107.57,117.47,122.97,131.97,131.97,131.97,151.97,150.97,149.97,149.97,149.97,149.97,,147.06,173.29,172.93,165.0,104.59,104.32
Mtito Andei,109.13,119.03,124.53,133.53,133.53,133.53,153.53,152.53,151.53,151.53,151.53,151.53,154.43,146.99,174.97,174.5,166.57,104.48,104.59
Mandera,106.34,116.24,121.74,130.74,130.74,130.74,150.74,149.74,148.74,148.74,148.74,148.74,146.67,,171.97,171.7,163.77,104.6,104.48
Lokori,105.67,115.57,121.07,130.07,130.07,130.07,150.07,149.07,148.07,148.07,148.07,148.07,146.71,146.9,171.25,171.03,163.1,104.77,104.6
Malaba,106.28,116.18,121.68,130.68,130.68,130.68,150.68,149.68,148.68,148.68,148.68,148.68,155.04,,171.90,171.63,163.71,104.84,104.77
Lokichogio,105.86,115.76,121.26,130.26,130.26,130.26,150.26,149.26,148.26,148.26,148.26,148.26,,146.87,171.46,171.22,163.3,105.15,104.84
Soy,104.66,114.56,120.06,129.06,129.06,129.06,149.06,148.06,147.06,147.06,147.06,147.06,146.58,,170.17,170.02,162.1,104.98,105.15
Oyugis,105.38,115.28,120.78,129.78,129.78,129.78,149.78,148.78,147.78,147.78,147.78,147.78,147.65,146.73,170.93,170.74,162.81,105.16,104.98
Marsabit,104.68,114.58,120.08,129.08,129.08,129.08,149.08,148.08,147.08,147.08,147.08,147.08,145.94,,170.20,,162.12,105.14,105.16
Kabartonjo,105.11,115.01,120.51,129.51,129.51,129.51,149.51,148.51,147.51,147.51,147.51,147.51,146.9,147.21,170.64,170.47,162.53,105.08,105.14
Ziwa,105.25,115.15,120.65,129.65,129.65,129.65,149.65,148.65,147.65,147.65,147.65,147.65,147.57,,170.79,170.61,162.68,105.94,105.08
Muranga,105.35,115.25,120.75,129.75,129.75,129.75,149.75,148.75,147.75,147.75,147.75,147.75,,147.57,170.91,170.72,162.79,106.22,105.94
Kisumu,106.26,116.16,121.66,130.66,130.66,130.66,150.66,149.66,148.66,148.66,148.66,148.66,146.62,,171.89,171.62,163.7,105.38,106.22
Mwingi,106.13,116.03,121.53,130.53,130.53,130.53,150.53,149.53,148.53,148.53,148.53,148.53,145.17,147.25,171.75,171.49,163.57,104.49,105.38
Kisii,105.11,115.01,120.51,129.51,129.51,129.51,149.51,148.51,147.51,147.51,147.51,147.51,155.21,,170.64,170.47,162.53,105.07,104.49
Kericho,105.17,115.07,120.57,129.57,129.57,129.57,149.57,148.57,147.57,147.57,147.57,147.57,,147.87,170.71,170.52,162.59,104.26,105.07
Mumias,104.34,114.24,119.74,128.74,128.74,128.74,148.74,147.74,146.74,146.74,146.74,146.74,147.1,,169.82,,161.77,105.72,104.26
Saboti,104.74,114.64,120.14,129.14,129.14,129.14,149.14,148.14,147.14,147.14,147.14,147.14,,149.49,170.25,170.1,162.17,105.82,105.72
