Archers Post,181.85,165.06,149.03,,,,,,,,151,Cheptulu,179.93,163.15,147.1
Barwessa,180.59,163.81,147.75,,,,,,,,152,Songor,180.47,163.69,147.65
Bungoma,180.26,163.48,147.44,,,,,,,,153,Kapcherop,180.11,163.33,147.28
Burgich,181.12,164.34,148.29,,,,,,,,154,Sambalat,180.79,164.01,147.97
Burnt Forest,179.45,162.67,146.62,,,,,,,,155,Arror,180.45,163.67,147.61
Bute,187.38,170.08,154.02,,,,,,,,156,Tot,180.65,163.87,147.82
Chebara,179.89,163.1,147.06,,,,,,,,157,Kaptarakwa,179.69,162.91,146.87
Chepareria,180.71,163.93,147.87,,,,,,,,158,Kapese,182.65,165.86,149.82
Chuka,180.93,163.63,147.57,,,,,,,,159,Kalemngorok,182.03,165.25,149.21
Dadaab,184.85,167.55,151.49,,,,,,,,160,Marich,181.02,164.24,148.19
Doldo,182,164.7,148.63,,,,,,,,161,Alale,181.5,164.72,148.68
Eldama Ravine,180.33,163.55,147.51,,,,,,,,162,Kunyao,181.17,164.39,148.34
Eldas,190.34,173.04,156.98,,,,,,,,163,Asilong,180.76,163.98,147.93
Eldoret,179.5,162.72,146.67,,,,,,,,164,Orolwo,180.79,164.01,147.97
Elwak,190.02,172.72,156.65,,,,,,,,165,Sebit,180.74,163.96,147.92
Embu,180.4,163.1,147.04,,,,,,,,166,Morpus,180.65,163.87,147.82
Endebes,180.39,163.61,147.57,,,,,,,,167,Chepkorniswo,180.53,163.75,147.71
Garissa,183.47,166.17,150.11,,,,,,,,168,Kaibichbich,180.49,163.7,147.66
Garsen,179.33,162.11,146.05,,,,,,,,169,Keringet,180.21,163.43,147.39
Gilgil,178.58,161.79,145.76,,,,,,,,170,Kisumu,179.5,162.7,146.66
Habaswein,186.16,168.86,152.8,,,,,,,,171,Sondu,179.59,162.8,146.77
Hadado,185.97,168.67,152.6,,,,,,,,172,Oyugis,180.08,163.29,147.25
Hola,180.57,163.34,147.28,,,,,,,,173,Kakamega,179.54,162.75,146.72
