Price Period,Town,Super,Diesel,Kerosene
 15th November 2021 - 14th December 2021,Ziwa,130.32,111.51,104.47
 15th November 2021 - 14th December 2021,Soy,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Moi's Bridge,130.19,111.38,104.34
 15th November 2021 - 14th December 2021,Turbo,130.08,111.27,104.22
 15th November 2021 - 14th December 2021,Kibish,138.19,119.37,112.33
 15th November 2021 - 14th December 2021,Nakalale,137.01,118.20,111.15
 15th November 2021 - 14th December 2021,Loima,133.42,114.62,107.57
 15th November 2021 - 14th December 2021,Lokiriama,134.99,116.19,109.13
 15th November 2021 - 14th December 2021,Kainuk,132.20,113.39,106.34
 15th November 2021 - 14th December 2021,Kacheliba,131.52,112.72,105.67
 15th November 2021 - 14th December 2021,Kiwawa,132.14,113.32,106.27
 15th November 2021 - 14th December 2021,Ortum,131.72,112.91,105.86
 15th November 2021 - 14th December 2021,Kachibora,130.52,111.70,104.66
 15th November 2021 - 14th December 2021,Kwanza,131.23,112.42,105.38
 15th November 2021 - 14th December 2021,Kaplamai,130.54,111.74,104.68
 15th November 2021 - 14th December 2021,Eldama Ravine,130.96,112.15,105.11
 15th November 2021 - 14th December 2021,Tenges,131.10,112.29,105.25
 15th November 2021 - 14th December 2021,Barwessa,131.21,112.41,105.35
 15th November 2021 - 14th December 2021,Kipsaraman,132.12,113.31,106.26
 15th November 2021 - 14th December 2021,Loruk,131.99,113.18,106.13
 15th November 2021 - 14th December 2021,Kabartonjo,130.96,112.15,105.11
 15th November 2021 - 14th December 2021,Tindiret,131.03,112.21,105.16
 15th November 2021 - 14th December 2021,O'lessos,130.19,111.38,104.34
 15th November 2021 - 14th December 2021,Kobujoi,130.59,111.79,104.74
 15th November 2021 - 14th December 2021,Serem,130.67,111.87,104.81
 15th November 2021 - 14th December 2021,Kabiyet,130.13,111.32,104.27
 15th November 2021 - 14th December 2021,Cheptulu,130.55,111.75,104.70
 15th November 2021 - 14th December 2021,Songor,131.10,112.29,105.25
 15th November 2021 - 14th December 2021,Kapcherop,130.73,111.93,104.88
 15th November 2021 - 14th December 2021,Sambalat,131.42,112.61,105.57
 15th November 2021 - 14th December 2021,Arror,131.07,112.27,105.21
 15th November 2021 - 14th December 2021,Tot,131.27,112.47,105.42
 15th November 2021 - 14th December 2021,Kaptarakwa,130.32,111.51,104.47
 15th November 2021 - 14th December 2021,Kisumu,130.12,111.30,104.26
 15th November 2021 - 14th December 2021,Sondu,130.23,111.40,104.37
 15th November 2021 - 14th December 2021,Oyugis,130.70,111.89,104.85
 15th November 2021 - 14th December 2021,Kakamega,130.17,111.35,104.32
 15th November 2021 - 14th December 2021,Mumias,130.44,111.63,104.59
 15th November 2021 - 14th December 2021,Bondo,130.33,111.51,104.48
 15th November 2021 - 14th December 2021,Siaya,130.45,111.64,104.60
 15th November 2021 - 14th December 2021,Kericho,130.63,111.81,104.77
 15th November 2021 - 14th December 2021,Nyamira,130.69,111.88,104.84
 15th November 2021 - 14th December 2021,Kisii,131.00,112.18,105.15
 15th November 2021 - 14th December 2021,Sotik,130.83,112.02,104.98
 15th November 2021 - 14th December 2021,Keroka,131.01,112.20,105.16
 15th November 2021 - 14th December 2021,Busia,130.99,112.17,105.14
 15th November 2021 - 14th December 2021,Homabay,130.94,112.12,105.08
 15th November 2021 - 14th December 2021,Migori,131.79,112.97,105.94
 15th November 2021 - 14th December 2021,Isebania,132.07,113.26,106.22
 15th November 2021 - 14th December 2021,Bomet,131.23,112.42,105.38
 15th November 2021 - 14th December 2021,Muhoroni,130.36,111.53,104.49
 15th November 2021 - 14th December 2021,Mbita,130.93,112.10,105.07
 15th November 2021 - 14th December 2021,Mbale,130.12,111.30,104.26
 15th November 2021 - 14th December 2021,Etago,131.58,112.75,105.72
 15th November 2021 - 14th December 2021,Magenche,131.67,112.86,105.82
 15th November 2021 - 14th December 2021,Kilgoris,131.51,112.69,105.66
